date,season,type,round,home_team,away_team,home_pts,away_pts,expected_win,result,accuracy,brier,log_loss
1999-06-12,1999,R,,CHA,NYL,57,68,0.5733,0.0,0,0.3287,0.8518
1999-06-12,1999,R,,CLE,LAS,59,75,0.6527,0.0,0,0.4261,1.0577
1999-06-12,1999,R,,HOU,WAS,88,63,0.8874,1.0,1,0.0127,0.1195
1999-06-12,1999,R,,MIN,DET,68,51,0.5899,1.0,1,0.1682,0.5278
1999-06-12,1999,R,,SAC,PHX,96,85,0.3957,1.0,0,0.3652,0.9271
1999-06-12,1999,R,,UTA,ORL,71,65,0.5335,1.0,1,0.2176,0.6283
1999-06-14,1999,R,,CLE,DET,71,73,0.6123,0.0,0,0.375,0.9476
1999-06-14,1999,R,,MIN,UTA,78,54,0.7327,1.0,1,0.0715,0.3111
1999-06-14,1999,R,,NYL,WAS,61,83,0.8363,0.0,0,0.6994,1.8097
1999-06-14,1999,R,,PHX,SAC,64,74,0.7577,0.0,0,0.5741,1.4177
1999-06-15,1999,R,,ORL,LAS,88,86,0.5684,1.0,1,0.1863,0.565
1999-06-17,1999,R,,DET,ORL,79,74,0.6803,1.0,1,0.1022,0.3852
1999-06-17,1999,R,,HOU,UTA,93,73,0.8828,1.0,1,0.0137,0.1246
1999-06-17,1999,R,,SAC,CLE,70,50,0.553,1.0,1,0.1998,0.5923
1999-06-18,1999,R,,NYL,LAS,84,72,0.6792,1.0,1,0.1029,0.3868
1999-06-18,1999,R,,WAS,DET,69,76,0.4753,0.0,1,0.2259,0.6449
1999-06-19,1999,R,,CHA,LAS,69,73,0.664,0.0,0,0.4409,1.0907
1999-06-19,1999,R,,MIN,HOU,55,69,0.4814,0.0,1,0.2317,0.6566
1999-06-19,1999,R,,ORL,WAS,73,68,0.7589,1.0,1,0.0581,0.2759
1999-06-19,1999,R,,PHX,CLE,76,67,0.7194,1.0,1,0.0788,0.3294
1999-06-19,1999,R,,UTA,SAC,85,75,0.5451,1.0,1,0.2069,0.6068
1999-06-20,1999,R,,NYL,DET,69,62,0.6394,1.0,1,0.13,0.4471
1999-06-21,1999,R,,ORL,PHX,80,76,0.55,1.0,1,0.2025,0.5978
1999-06-22,1999,R,,CLE,ORL,62,71,0.6365,0.0,0,0.4052,1.012
1999-06-22,1999,R,,DET,CHA,75,69,0.6416,1.0,1,0.1285,0.4438
