--- When using SR data, please cite us and provide a link and/or a mention.


 
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Sun Jan 21 1951,,Tri-Cities Blackhawks,82,Minneapolis Lakers,89,Box Score,,,,Minneapolis Auditorium,
Tue Jan 23 1951,,Minneapolis Lakers,89,Baltimore Bullets,79,Box Score,,,,Cambria County War Memorial Arena,at Johnstown PA
Tue Jan 23 1951,,Boston Celtics,83,Indianapolis Olympians,79,Box Score,OT,4347,,Hinkle Fieldhouse,
Tue Jan 23 1951,,Tri-Cities Blackhawks,77,Philadelphia Warriors,88,Box Score,,,,Philadelphia Arena,
Tue Jan 23 1951,,New York Knicks,92,Rochester Royals,102,Box Score,4OT,,,Edgerton Park Arena,
Wed Jan 24 1951,,Syracuse Nationals,82,Baltimore Bullets,87,Box Score,,,,Baltimore Coliseum,
Wed Jan 24 1951,,Tri-Cities Blackhawks,85,New York Knicks,95,Box Score,,,,Madison Square Garden (III),
Thu Jan 25 1951,,Fort Wayne Pistons,97,Boston Celtics,99,Box Score,,5206,,Boston Garden,
Thu Jan 25 1951,,Minneapolis Lakers,90,Philadelphia Warriors,71,Box Score,,,,Philadelphia Arena,
Thu Jan 25 1951,,Tri-Cities Blackhawks,87,Syracuse Nationals,113,Box Score,,,,State Fair Coliseum,
Fri Jan 26 1951,,Philadelphia Warriors,75,Indianapolis Olympians,78,Box Score,,,,Hinkle Fieldhouse,
Sat Jan 27 1951,,Fort Wayne Pistons,91,Baltimore Bullets,97,Box Score,,,,Baltimore Coliseum,
Sat Jan 27 1951,,Boston Celtics,75,New York Knicks,76,Box Score,,5200,,Madison Square Garden (III),
Sat Jan 27 1951,,Syracuse Nationals,83,Rochester Royals,85,Box Score,,,,Edgerton Park Arena,
Sun Jan 28 1951,,Indianapolis Olympians,75,Minneapolis Lakers,101,Box Score,,,,Minneapolis Auditorium,
Sun Jan 28 1951,,Philadelphia Warriors,96,Tri-Cities Blackhawks,86,Box Score,,,,Wharton Field House,
Sun Jan 28 1951,,Boston Celtics,83,Syracuse Nationals,104,Box Score,,6110,,State Fair Coliseum,
Sun Jan 28 1951,,Rochester Royals,88,Fort Wayne Pistons,93,Box Score,,,,North Side High School Gym,
Mon Jan 29 1951,,Tri-Cities Blackhawks,85,Indianapolis Olympians,87,Box Score,,,,Hinkle Fieldhouse,at Jeffersonville IN
Tue Jan 30 1951,,Syracuse Nationals,87,Boston Celtics,96,Box Score,,4819,,Boston Garden,
Tue Jan 30 1951,,Baltimore Bullets,90,Rochester Royals,95,Box Score,,,,Edgerton Park Arena,
Wed Jan 31 1951,,Philadelphia Warriors,84,Fort Wayne Pistons,91,Box Score,,,,North Side High School Gym,
Wed Jan 31 1951,,Rochester Royals,63,Indianapolis Olympians,68,Box Score,,,,Hinkle Fieldhouse,
Wed Jan 31 1951,,Tri-Cities Blackhawks,78,Minneapolis Lakers,106,Box Score,,,,Minneapolis Auditorium,
Wed Jan 31 1951,,Baltimore Bullets,77,New York Knicks,89,Box Score,,,,Madison Square Garden (III),
Thu Feb 1 1951,,New York Knicks,93,Syracuse Nationals,90,Box Score,,,,State Fair Coliseum,
Thu Feb 1 1951,,Boston Celtics,80,Philadelphia Warriors,82,Box Score,2OT,4268,,Philadelphia Arena,
