date,season,type,round,po_mult,team,opponent,home_away,pre_rate,opp_pre_rate,expected_win,result,accuracy,brier,points_for,points_against,mov,mov_mult,k,keff,days_off,opp_days_off,rest_adj
2024-08-22,2024,R,,1.0,NYL,DET,H,1734.2796935293757,1359.231478413469,0.933546848860905,1.0,1,0.004416021296315404,79,71,8,0.2958503984395903,71.65,71.65,1,1,0.0
2024-09-19,2024,R,,1.0,UTA,DET,H,1672.2743806656515,1336.8004411921006,0.9029533668391886,1.0,1,0.009418049007849101,98,84,14,0.3810743440175467,70.0,70.0,1,3,-16.0
2024-09-19,2024,R,,1.0,MIN,LAS,H,1675.4173362621,1280.644243096021,0.9402535314623699,0.0,0,0.8840767034274578,51,68,-17,0.40064037049304474,70.0,70.0,1,1,0.0
2024-09-19,2024,R,,1.0,NYL,ATL,H,1727.3815204950722,1409.235379464878,0.9101067687156168,0.0,0,0.8282943304619812,67,78,-11,0.34766294893783894,70.0,70.0,1,1,0.0
2025-06-10,2025,R,,1.0,NYL,CHI,H,1698.5242553668197,1381.3792040979522,0.923676664183327,1.0,1,0.005825251590184648,85,66,19,0.44371043276627364,74.65,74.65,4,2,16.0
2025-08-21,2025,R,,1.0,NYL,CHI,H,1604.5180370147534,1283.6587900396091,0.911376349170073,0.0,0,0.8306068498265708,85,91,-6,0.27717023396319546,70.6,70.6,1,1,0.0
2025-08-29,2025,R,,1.0,ATL,DET,H,1621.433597544805,1298.1159065744077,0.9125127594883152,1.0,1,0.0076540172523493774,100,78,22,0.47427231356052524,70.15,70.15,1,1,0.0
2025-09-01,2025,R,,1.0,MIN,DET,H,1701.6118823481156,1295.2114122568926,0.9388237446441365,1.0,1,0.003742534219365813,96,71,25,0.47909201248484673,70.0,70.0,1,2,-8.0
2025-09-07,2025,R,,1.0,UTA,CHI,H,1657.201182336264,1292.9705116300206,0.935373813360996,1.0,1,0.004176543999499378,80,66,14,0.3740686940863639,69.7,69.7,2,1,8.0
2025-09-09,2025,R,,1.0,UTA,CHI,H,1658.8861542730806,1291.285539693204,0.9308372551969594,1.0,1,0.004783485268690524,92,61,31,0.5477042051895703,69.55,69.55,1,1,0.0
