date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,score1,score2,is_home,result,correct,brier
1995-11-08,1996,0,,BOS,PHO,1458.6415,1582.6678,0.465478387,0.534521613,1465.535,1575.7743,113,109,1,1,False,0.2857133547641218
1995-11-08,1996,0,,DEN,SEA,1515.3103,1623.8881,0.487658061,0.512341939,1508.4934,1630.705,117,122,1,0,True,0.2378103844582797
1995-11-08,1996,0,,DET,POR,1354.7885,1495.4945,0.441685934,0.558314066,1364.4985,1485.7844,107,100,1,1,False,0.31171459629345233
1995-11-08,1996,0,,LAC,ATL,1368.2191,1524.6771,0.419458091,0.580541909,1360.9315,1531.9647,92,100,1,0,True,0.17594509010536427
1995-11-08,1996,0,,MIA,HOU,1467.7982,1637.3822,0.401178353,0.598821647,1478.4677,1626.7128,89,82,1,1,False,0.3585873649157927
1995-11-08,1996,0,,CHH,WSB,1538.5004,1359.0929,0.612327489,0.387672511,1521.6808,1375.9125,96,110,0,0,False,0.3749449537850451
1995-11-08,1996,0,,NJN,ORL,1408.1704,1561.0919,0.189090122,0.810909878,1405.3146,1563.9478,122,130,0,0,True,0.03575507423797488
1995-11-08,1996,0,,VAN,SAS,1327.8699,1625.3595,0.092110472,0.907889528,1323.4728,1629.7566,62,111,0,0,True,0.008484339052062783
1995-11-08,1996,0,,SAC,TOR,1497.8477,1310.9349,0.622532249,0.377467751,1509.0059,1299.7767,109,90,0,1,True,0.14248190304499797
1995-11-08,1996,0,,LAL,UTA,1513.9481,1613.4701,0.240755684,0.759244316,1509.639,1617.7792,98,108,0,0,True,0.05796329937830785
1995-11-08,1996,0,,PHO,BOS,1582.6678,1458.6415,0.534521613,0.465478387,1575.7743,1465.535,109,113,0,0,False,0.2857133547641218
1995-11-08,1996,0,,SEA,DEN,1623.8881,1515.3103,0.512341939,0.487658061,1630.705,1508.4934,122,117,0,1,True,0.2378103844582797
1995-11-08,1996,0,,POR,DET,1495.4945,1354.7885,0.558314066,0.441685934,1485.7844,1364.4985,100,107,0,0,False,0.31171459629345233
1995-11-08,1996,0,,ATL,LAC,1524.6771,1368.2191,0.580541909,0.419458091,1531.9647,1360.9315,100,92,0,1,True,0.17594509010536427
1995-11-08,1996,0,,HOU,MIA,1637.3822,1467.7982,0.598821647,0.401178353,1626.7128,1478.4677,82,89,0,0,False,0.3585873649157926
1995-11-09,1996,0,,DAL,MIL,1490.5273,1425.3678,0.721262869,0.278737131,1495.6373,1420.2578,104,94,1,1,True,0.07769438819811114
1995-11-09,1996,0,,GSW,ATL,1394.6543,1531.9647,0.446511473,0.553488527,1389.1702,1537.4489,121,125,1,0,True,0.19937249552062972
1995-11-09,1996,0,,NYK,IND,1600.9722,1609.915,0.628121721,0.371878279,1607.2665,1603.6207,103,95,1,1,True,0.13829345439200186
1995-11-09,1996,0,,CLE,CHI,1465.8986,1605.7983,0.442830818,0.557169182,1452.8268,1618.8701,88,106,1,0,True,0.19609913337054913
1995-11-09,1996,0,,MIL,DAL,1425.3678,1490.5273,0.278737131,0.721262869,1420.2578,1495.6373,94,104,0,0,True,0.07769438819811117
1995-11-09,1996,0,,ATL,GSW,1531.9647,1394.6543,0.553488527,0.446511473,1537.4489,1389.1702,125,121,0,1,True,0.19937249552062977
1995-11-09,1996,0,,IND,NYK,1609.915,1600.9722,0.371878279,0.628121721,1603.6207,1607.2665,95,103,0,0,True,0.13829345439200183
1995-11-09,1996,0,,CHI,CLE,1605.7983,1465.8986,0.557169182,0.442830818,1618.8701,1452.8268,106,88,0,1,True,0.19609913337054913
1995-11-10,1996,0,,SAS,MIL,1629.7566,1420.2578,0.855896579,0.144103421,1632.7278,1417.2866,104,90,1,1,True,0.020765795943903227
1995-11-10,1996,0,,UTA,DEN,1617.7792,1508.4934,0.769367978,0.230632022,1624.9182,1501.3544,109,86,1,1,True,0.05319112957180848
1995-11-10,1996,0,,VAN,LAC,1323.4728,1360.9315,0.589044468,0.410955532,1313.0398,1371.3645,91,98,1,0,False,0.34697338528140304
1995-11-10,1996,0,,WSB,NYK,1375.9125,1607.2665,0.319486116,0.680513884,1373.5754,1609.6035,109,110,1,0,True,0.10207137831676545
1995-11-10,1996,0,,BOS,ORL,1465.535,1563.9478,0.502284149,0.497715851,1451.3943,1578.0885,94,110,1,0,False,0.25228936633665416
1995-11-10,1996,0,,DET,CLE,1364.4985,1452.8268,0.516790611,0.483209389,1380.1823,1437.1431,100,80,1,1,True,0.2334913136177533
1995-11-10,1996,0,,IND,SAC,1603.6207,1509.0059,0.754043032,0.245956968,1570.3583,1542.2683,95,119,1,0,False,0.568580894107753
1995-11-10,1996,0,,LAL,SEA,1509.639,1630.705,0.469720686,0.530279314,1515.6698,1624.6742,100,97,1,1,False,0.28119615085631056
1995-11-10,1996,0,,MIA,NJN,1478.4677,1405.3146,0.730418986,0.269581014,1487.8053,1395.9769,106,80,1,1,True,0.07267392310926821
1995-11-10,1996,0,,MIN,POR,1351.673,1485.7844,0.451066877,0.548933123,1344.8823,1492.5751,102,108,1,0,True,0.20346132752653312
1995-11-10,1996,0,,PHI,CHH,1374.3685,1521.6808,0.432329899,0.567670101,1389.5454,1506.5039,104,90,1,1,False,0.32224934356935026
1995-11-10,1996,0,,TOR,PHO,1299.7767,1575.7743,0.266368997,0.733631003,1296.8234,1578.7277,108,112,1,0,True,0.070952442562786
1995-11-10,1996,0,,MIL,SAS,1420.2578,1629.7566,0.144103421,0.855896579,1417.2866,1632.7278,90,104,0,0,True,0.020765795943903244
1995-11-10,1996,0,,DEN,UTA,1508.4934,1617.7792,0.230632022,0.769367978,1501.3544,1624.9182,86,109,0,0,True,0.05319112957180848
1995-11-10,1996,0,,LAC,VAN,1360.9315,1323.4728,0.410955532,0.589044468,1371.3645,1313.0398,98,91,0,1,False,0.34697338528140304
1995-11-10,1996,0,,NYK,WSB,1607.2665,1375.9125,0.680513884,0.319486116,1609.6035,1373.5754,110,109,0,1,True,0.10207137831676545
1995-11-10,1996,0,,ORL,BOS,1563.9478,1465.535,0.497715851,0.502284149,1578.0885,1451.3943,110,94,0,1,False,0.2522893663366543
1995-11-10,1996,0,,CLE,DET,1452.8268,1364.4985,0.483209389,0.516790611,1437.1431,1380.1823,80,100,0,0,True,0.2334913136177533
1995-11-10,1996,0,,SAC,IND,1509.0059,1603.6207,0.245956968,0.754043032,1542.2683,1570.3583,119,95,0,1,False,0.568580894107753
1995-11-10,1996,0,,SEA,LAL,1630.705,1509.639,0.530279314,0.469720686,1624.6742,1515.6698,97,100,0,0,False,0.28119615085631056
1995-11-10,1996,0,,NJN,MIA,1405.3146,1478.4677,0.269581014,0.730418986,1395.9769,1487.8053,80,106,0,0,True,0.07267392310926821
1995-11-10,1996,0,,POR,MIN,1485.7844,1351.673,0.548933123,0.451066877,1492.5751,1344.8823,108,102,0,1,True,0.20346132752653315
1995-11-10,1996,0,,CHH,PHI,1521.6808,1374.3685,0.567670101,0.432329899,1506.5039,1389.5454,90,104,0,0,False,0.32224934356935026
1995-11-10,1996,0,,PHO,TOR,1575.7743,1299.7767,0.733631003,0.266368997,1578.7277,1296.8234,112,108,0,1,True,0.07095244256278603
1995-11-11,1996,0,,GSW,LAL,1389.1702,1515.6698,0.461937789,0.538062211,1405.915,1498.9249,123,105,1,1,False,0.2895109429062085
1995-11-11,1996,0,,SEA,VAN,1624.6742,1313.0398,0.914476305,0.085523695,1627.8899,1309.8241,117,81,1,1,True,0.007314302406453027
1995-11-11,1996,0,,ORL,MIA,1578.0885,1487.8053,0.749389353,0.250610647,1579.8468,1486.047,94,93,1,1,True,0.06280569638975862
1995-11-11,1996,0,,NJN,SAC,1395.9769,1542.2683,0.43377275,0.56622725,1401.6592,1536.5861,86,84,1,1,False,0.3206132986425626
1995-11-11,1996,0,,CHH,TOR,1506.5039,1296.8234,0.856025536,0.143974464,1508.2885,1295.0388,123,117,1,1,True,0.020728646284087302
1995-11-11,1996,0,,CHI,POR,1618.8701,1492.5751,0.786282104,0.213717896,1621.1591,1490.2861,110,106,1,1,True,0.04567533907066682
1995-11-11,1996,0,,DAL,ATL,1495.6373,1537.4489,0.582965573,0.417034427,1480.6539,1552.4323,100,113,1,0,False,0.3398488593032183
1995-11-11,1996,0,,HOU,MIN,1626.7128,1344.8823,0.900069141,0.099930859,1629.3936,1342.2015,119,97,1,1,True,0.009986176580477877
1995-11-11,1996,0,,LAL,GSW,1515.6698,1389.1702,0.538062211,0.461937789,1498.9249,1405.915,105,123,0,0,False,0.2895109429062085
1995-11-11,1996,0,,VAN,SEA,1313.0398,1624.6742,0.085523695,0.914476305,1309.8241,1627.8899,81,117,0,0,True,0.007314302406453025
1995-11-11,1996,0,,MIA,ORL,1487.8053,1578.0885,0.250610647,0.749389353,1486.047,1579.8468,93,94,0,0,True,0.06280569638975862
1995-11-11,1996,0,,SAC,NJN,1542.2683,1395.9769,0.56622725,0.43377275,1536.5861,1401.6592,84,86,0,0,False,0.32061329864256244
1995-11-11,1996,0,,TOR,CHH,1296.8234,1506.5039,0.143974464,0.856025536,1295.0388,1508.2885,117,123,0,0,True,0.020728646284087295
1995-11-11,1996,0,,POR,CHI,1492.5751,1618.8701,0.213717896,0.786282104,1490.2861,1621.1591,106,110,0,0,True,0.045675339070666815
1995-11-11,1996,0,,ATL,DAL,1537.4489,1495.6373,0.417034427,0.582965573,1552.4323,1480.6539,113,100,0,1,False,0.3398488593032184
1995-11-11,1996,0,,MIN,HOU,1344.8823,1626.7128,0.099930859,0.900069141,1342.2015,1629.3936,97,119,0,0,True,0.00998617658047788
1995-11-12,1996,0,,CLE,SAS,1437.1431,1632.7278,0.365811104,0.634188896,1433.3434,1636.5275,81,84,1,0,True,0.13381776380969881
1995-11-12,1996,0,,LAC,DEN,1371.3645,1501.3544,0.456947935,0.543052065,1379.1957,1493.5232,108,103,1,1,False,0.2949055453007641
1995-11-12,1996,0,,NYK,UTA,1609.6035,1624.9182,0.619514438,0.380485562,1616.9994,1617.5223,120,110,1,1,True,0.14476926289045589
1995-11-12,1996,0,,PHO,GSW,1578.7277,1405.915,0.827845775,0.172154225,1580.3077,1404.335,112,109,1,1,True,0.02963707718535062
1995-11-12,1996,0,,SAS,CLE,1632.7278,1437.1431,0.634188896,0.365811104,1636.5275,1433.3434,84,81,0,1,True,0.13381776380969884
1995-11-12,1996,0,,DEN,LAC,1501.3544,1371.3645,0.543052065,0.456947935,1493.5232,1379.1957,103,108,0,0,False,0.29490554530076424
1995-11-12,1996,0,,UTA,NYK,1624.9182,1609.6035,0.380485562,0.619514438,1617.5223,1616.9994,110,120,0,0,True,0.14476926289045583
1995-11-12,1996,0,,GSW,PHO,1405.915,1578.7277,0.172154225,0.827845775,1404.335,1580.3077,109,112,0,0,True,0.02963707718535062
1995-11-13,1996,0,,TOR,UTA,1295.0388,1617.5223,0.217428033,0.782571967,1292.975,1619.5862,100,103,1,0,True,0.047274949534249086
1995-11-13,1996,0,,VAN,DAL,1309.8241,1480.6539,0.399456764,0.600543236,1304.5033,1485.9747,89,94,1,0,True,0.15956570630535172
1995-11-13,1996,0,,UTA,TOR,1617.5223,1295.0388,0.782571967,0.217428033,1619.5862,1292.975,103,100,0,1,True,0.0472749495342491
1995-11-13,1996,0,,DAL,VAN,1480.6539,1309.8241,0.600543236,0.399456764,1485.9747,1304.5033,94,89,0,1,True,0.15956570630535166
1995-11-14,1996,0,,SAC,LAL,1536.5861,1498.9249,0.688355342,0.311644658,1524.6228,1510.8882,100,106,1,0,False,0.47383307685993703
1995-11-14,1996,0,,ATL,CHH,1552.4323,1508.2885,0.696303845,0.303696155,1557.0138,1503.7069,111,104,1,1,True,0.09223135456178404
1995-11-14,1996,0,,GSW,LAC,1404.335,1379.1957,0.672686224,0.327313776,1386.9384,1396.5923,106,118,1,0,False,0.45250675595937817
1995-11-14,1996,0,,MIL,SAS,1417.2866,1636.5275,0.334833098,0.665166902,1436.2013,1617.6128,98,84,1,1,False,0.4424470075162775
1995-11-14,1996,0,,PHI,SEA,1389.5454,1627.8899,0.310801484,0.689198516,1384.4641,1632.9712,107,115,1,0,True,0.09659756245660227
1995-11-14,1996,0,,ORL,CHI,1579.8468,1621.1591,0.583664172,0.416335828,1585.9968,1615.009,94,88,1,1,True,0.1733355216764456
1995-11-14,1996,0,,POR,NYK,1490.2861,1616.9994,0.461632047,0.538367953,1498.7941,1608.4915,105,99,1,1,False,0.28984005281741027
1995-11-14,1996,0,,LAL,SAC,1498.9249,1536.5861,0.311644658,0.688355342,1510.8882,1524.6228,106,100,0,1,False,0.47383307685993686
1995-11-14,1996,0,,CHH,ATL,1508.2885,1552.4323,0.303696155,0.696303845,1503.7069,1557.0138,104,111,0,0,True,0.09223135456178404
1995-11-14,1996,0,,LAC,GSW,1379.1957,1404.335,0.327313776,0.672686224,1396.5923,1386.9384,118,106,0,1,False,0.45250675595937817
1995-11-14,1996,0,,SAS,MIL,1636.5275,1417.2866,0.665166902,0.334833098,1617.6128,1436.2013,84,98,0,0,False,0.4424470075162775
1995-11-14,1996,0,,SEA,PHI,1627.8899,1389.5454,0.689198516,0.310801484,1632.9712,1384.4641,115,107,0,1,True,0.09659756245660223
1995-11-14,1996,0,,CHI,ORL,1621.1591,1579.8468,0.416335828,0.583664172,1615.009,1585.9968,88,94,0,0,True,0.1733355216764456
1995-11-14,1996,0,,NYK,POR,1616.9994,1490.2861,0.538367953,0.461632047,1608.4915,1498.7941,99,105,0,0,False,0.28984005281741015
