--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,Notes
134,3,Sep 10 2016,3:30 PM,Sat,Navy,28,,Connecticut,24,Navy Marine Corps Memorial Stadium - Annapolis Maryland
135,3,Sep 10 2016,12:00 PM,Sat,Nebraska,52,,Wyoming,17,Memorial Stadium - Lincoln Nebraska
136,3,Sep 10 2016,8:00 PM,Sat,New Mexico State,32,,New Mexico,31,Aggie Memorial Stadium - Las Cruces New Mexico
137,3,Sep 10 2016,7:30 PM,Sat,North Carolina,48,@,Illinois,23,Memorial Stadium - Champaign Illinois
138,3,Sep 10 2016,6:00 PM,Sat,North Carolina A&T,39,@,Kent State,36,Dix Stadium - Kent Ohio
139,3,Sep 10 2016,7:00 PM,Sat,North Texas,41,,Bethune-Cookman,20,Apogee Stadium - Denton Texas
140,3,Sep 10 2016,3:30 PM,Sat,(18) Notre Dame,39,,Nevada,10,Notre Dame Stadium - South Bend Indiana
141,3,Sep 10 2016,2:30 PM,Sat,Ohio,37,@,Kansas,21,Memorial Stadium - Lawrence Kansas
142,3,Sep 10 2016,3:30 PM,Sat,(4) Ohio State,48,,Tulsa,3,Ohio Stadium - Columbus Ohio
143,3,Sep 10 2016,7:00 PM,Sat,(14) Oklahoma,59,,Louisiana-Monroe,17,Gaylord Family - Oklahoma Memorial Stadium - Norman Oklahoma
144,3,Sep 10 2016,10:30 PM,Sat,(24) Oregon,44,,Virginia,26,Autzen Stadium - Eugene Oregon
145,3,Sep 10 2016,12:00 PM,Sat,Pittsburgh,42,,Penn State,39,Heinz Field - Pittsburgh Pennsylvania
146,3,Sep 10 2016,12:00 PM,Sat,Rutgers,52,,Howard,14,High Points Solutions Stadium - Piscataway New Jersey
147,3,Sep 10 2016,10:30 PM,Sat,San Diego State,45,,California,40,Qualcomm Stadium - San Diego California
148,3,Sep 10 2016,4:30 PM,Sat,San Jose State,66,,Portland State,35,CEFCU Stadium - San Jose California
149,3,Sep 10 2016,7:00 PM,Sat,South Florida,48,,Northern Illinois,17,Raymond James Stadium - Tampa Florida
150,3,Sep 10 2016,2:00 PM,Sat,Southern California,45,,Utah State,7,Los Angeles Memorial Coliseum - Los Angeles California
151,3,Sep 10 2016,7:00 PM,Sat,Southern Mississippi,56,,Savannah State,0,M.M. Roberts Stadium - Hattiesburg Mississippi
152,3,Sep 10 2016,1:00 PM,Sat,Temple,38,,Stony Brook,0,Lincoln Financial Field - Philadelphia Pennsylvania
153,3,Sep 10 2016,8:00 PM,Sat,(17) Tennessee,45,N,Virginia Tech,24,Bristol Motor Speedway - Bristol Tennessee
154,3,Sep 10 2016,7:00 PM,Sat,(11) Texas,41,,Texas-El Paso,7,Darrell K Royal-Texas Memorial Stadium - Austin Texas
155,3,Sep 10 2016,12:00 PM,Sat,(20) Texas A&M,67,,Prairie View A&M,0,Kyle Field - College Station Texas
156,3,Sep 10 2016,7:00 PM,Sat,Toledo,45,,Maine,3,Glass Bowl - Toledo Ohio
157,3,Sep 10 2016,8:00 PM,Sat,Tulane,66,,Southern,21,Yulman Stadium - New Orleans Louisiana
158,3,Sep 10 2016,8:00 PM,Sat,UCLA,42,,Nevada-Las Vegas,21,Rose Bowl - Pasadena California
159,3,Sep 10 2016,7:30 PM,Sat,Utah,20,,Brigham Young,19,Rice-Eccles Stadium - Salt Lake City Utah
