--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
219,6,Oct 3 1998,Sat,Air Force,56,,New Mexico,14,
220,6,Oct 3 1998,Sat,Alabama-Birmingham,24,,Louisiana,13,
221,6,Oct 3 1998,Sat,Appalachian State,30,@,Wake Forest,27,
222,6,Oct 3 1998,Sat,(14) Arizona,31,@,(20) Washington,28,
223,6,Oct 3 1998,Sat,(22) Arkansas,27,,Kentucky,20,
224,6,Oct 3 1998,Sat,Arkansas State,34,,New Mexico State,31,
225,6,Oct 3 1998,Sat,Ball State,18,,Northern Illinois,13,
226,6,Oct 3 1998,Sat,Bowling Green,35,,Ohio,7,
227,6,Oct 3 1998,Sat,Central Florida,31,@,Toledo,24,
228,6,Oct 3 1998,Sat,(15) Colorado,27,@,Oklahoma,25,
229,6,Oct 3 1998,Sat,Colorado State,20,@,Texas-El Paso,17,
230,6,Oct 3 1998,Sat,East Carolina,30,,Army,25,
231,6,Oct 3 1998,Sat,Eastern Michigan,26,@,Kent State,17,
232,6,Oct 3 1998,Sat,(8) Florida,16,@,Alabama,10,
233,6,Oct 3 1998,Sat,(9) Florida State,24,@,Maryland,10,
234,6,Oct 3 1998,Sat,Fresno State,31,,Brigham Young,21,
235,6,Oct 3 1998,Sat,(12) Georgia,28,@,(6) Louisiana State,27,
236,6,Oct 3 1998,Sat,Georgia Tech,41,,Duke,13,
237,6,Oct 3 1998,Sat,Houston,35,,Memphis,14,
238,6,Oct 3 1998,Sat,Idaho,52,,Idaho State,3,
239,6,Oct 3 1998,Sat,Illinois,13,@,Northwestern,10,
240,6,Oct 3 1998,Sat,Louisiana Tech,63,,Boise State,28,
241,6,Oct 3 1998,Sat,Louisville,62,,Cincinnati,19,
242,6,Oct 3 1998,Sat,Marshall,31,,Miami (OH),17,
243,6,Oct 3 1998,Sat,Miami (FL),53,@,Rutgers,17,
244,6,Oct 3 1998,Sat,(25) Michigan,12,@,Iowa,9,
245,6,Oct 3 1998,Sat,Michigan State,38,,Central Michigan,7,
246,6,Oct 3 1998,Sat,Mississippi,30,,South Carolina,28,
247,6,Oct 3 1998,Sat,(23) Missouri,35,,Northwestern State,14,
248,6,Oct 3 1998,Sat,(2) Nebraska,24,N,Oklahoma State,17,
249,6,Oct 3 1998,Sat,Nevada,31,@,Nevada-Las Vegas,20,
250,6,Oct 3 1998,Sat,North Carolina,21,,Clemson,14,
251,6,Oct 3 1998,Sat,(23) Notre Dame,35,,Stanford,17,
252,6,Oct 3 1998,Sat,(1) Ohio State,28,,(7) Penn State,9,
253,6,Oct 3 1998,Sat,Oregon State,20,@,Utah State,16,
254,6,Oct 3 1998,Sat,Pittsburgh,35,,Akron,0,
255,6,Oct 3 1998,Sat,Purdue,56,,Minnesota,21,
256,6,Oct 3 1998,Sat,San Diego State,24,@,Tulsa,14,
257,6,Oct 3 1998,Sat,(21) Southern California,35,,Arizona State,24,
258,6,Oct 3 1998,Sat,Southern Methodist,28,@,Hawaii,0,
259,6,Oct 3 1998,Sat,(3) Tennessee,17,@,Auburn,9,
260,6,Oct 3 1998,Sat,Texas,54,,Iowa State,33,
261,6,Oct 3 1998,Sat,(18) Texas A&M,24,@,Kansas,21,
262,6,Oct 3 1998,Sat,Texas Christian,19,,Vanderbilt,16,
263,6,Oct 3 1998,Sat,Texas Tech,31,,Baylor,29,
264,6,Oct 3 1998,Sat,Tulane,21,,Southern Mississippi,7,
265,6,Oct 3 1998,Sat,(4) UCLA,49,,Washington State,17,
266,6,Oct 3 1998,Sat,(10) Virginia,52,,San Jose State,14,
267,6,Oct 3 1998,Sat,(16) West Virginia,45,@,Navy,24,
268,6,Oct 3 1998,Sat,Western Michigan,27,,Louisiana-Monroe,14,
269,6,Oct 3 1998,Sat,William & Mary,45,@,Temple,38,
270,6,Oct 3 1998,Sat,(13) Wisconsin,24,@,Indiana,20,
271,6,Oct 3 1998,Sat,Wyoming,27,,Utah,24,
272,7,Oct 8 1998,Thu,(17) Virginia Tech,17,@,Boston College,0,
273,7,Oct 9 1998,Fri,San Diego State,35,,Hawaii,13,
274,7,Oct 10 1998,Sat,Air Force,49,,Navy,7,
275,7,Oct 10 1998,Sat,Akron,45,@,Kent State,16,
276,7,Oct 10 1998,Sat,Alabama,20,,Mississippi,17,
277,7,Oct 10 1998,Sat,(20) Arkansas,23,@,Memphis,9,
278,7,Oct 10 1998,Sat,Army,38,@,Houston,28,
279,7,Oct 10 1998,Sat,Baylor,31,,Kansas,24,
280,7,Oct 10 1998,Sat,Brigham Young,38,,Nevada-Las Vegas,14,
281,7,Oct 10 1998,Sat,California,32,@,(19) Southern California,31,
282,7,Oct 10 1998,Sat,Central Florida,38,,Northern Illinois,17,
283,7,Oct 10 1998,Sat,Central Michigan,36,@,Eastern Michigan,23,
284,7,Oct 10 1998,Sat,Clemson,23,,Maryland,0,
285,7,Oct 10 1998,Sat,Colorado State,34,,Tulsa,7,
286,7,Oct 10 1998,Sat,Duke,19,@,Wake Forest,16,
287,7,Oct 10 1998,Sat,East Carolina,26,,Alabama-Birmingham,7,
288,7,Oct 10 1998,Sat,(6) Florida,22,,(11) Louisiana State,10,
289,7,Oct 10 1998,Sat,(8) Florida State,26,@,Miami (FL),14,
290,7,Oct 10 1998,Sat,Georgia Tech,47,@,(23) North Carolina State,24,
