--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,Notes
439,8,Oct 14 2017,3:30 PM,Sat,Northern Illinois,14,@,Buffalo,13,UB Stadium - Buffalo New York
440,8,Oct 14 2017,3:30 PM,Sat,Northwestern,37,@,Maryland,21,Capital One Field at Maryland Stadium - College Park Maryland
441,8,Oct 14 2017,3:30 PM,Sat,Ohio,48,@,Bowling Green,30,Doyt Perry Stadium - Bowling Green Ohio
442,8,Oct 14 2017,7:30 PM,Sat,(9) Ohio State,56,@,Nebraska,14,Memorial Stadium - Lincoln Nebraska
443,8,Oct 14 2017,3:30 PM,Sat,(12) Oklahoma,29,N,Texas,24,Cotton Bowl - Dallas Texas
444,8,Oct 14 2017,3:30 PM,Sat,(14) Oklahoma State,59,,Baylor,16,Boone Pickens Stadium - Stillwater Oklahoma
445,8,Oct 14 2017,12:00 PM,Sat,Rutgers,35,@,Illinois,24,Memorial Stadium - Champaign Illinois
446,8,Oct 14 2017,12:00 PM,Sat,South Carolina,15,@,Tennessee,9,Neyland Stadium - Knoxville Tennessee
447,8,Oct 14 2017,7:30 PM,Sat,(18) South Florida,33,,Cincinnati,3,Raymond James Stadium - Tampa Florida
448,8,Oct 14 2017,8:00 PM,Sat,(13) Southern California,28,,Utah,27,Los Angeles Memorial Coliseum - Los Angeles California
449,8,Oct 14 2017,,Sat,Southern Mississippi,24,,Texas-El Paso,0,M. M. Roberts Stadium - Hattiesburg Mississippi
450,8,Oct 14 2017,11:00 PM,Sat,(23) Stanford,49,,Oregon,7,Stanford Stadium - Stanford California
451,8,Oct 14 2017,7:00 PM,Sat,Texas A&M,19,@,Florida,17,Ben Hill Griffin Stadium - Gainesville Florida
452,8,Oct 14 2017,12:00 PM,Sat,(6) Texas Christian,26,@,Kansas State,6,Bill Snyder Family Stadium - Manhattan Kansas
453,8,Oct 14 2017,3:30 PM,Sat,Toledo,30,@,Central Michigan,10,Kelly/Shorts Stadium - Mount Pleasant Michigan
454,8,Oct 14 2017,4:00 PM,Sat,Tulsa,45,,Houston,17,H.A. Chapman Stadium - Tulsa Oklahoma
455,8,Oct 14 2017,3:30 PM,Sat,Virginia,20,@,North Carolina,14,Kenan Memorial Stadium - Chapel Hill North Carolina
456,8,Oct 14 2017,12:00 PM,Sat,West Virginia,46,,(24) Texas Tech,35,Milan Puskar Stadium - Morgantown West Virginia
457,8,Oct 14 2017,4:30 PM,Sat,Western Kentucky,45,,Charlotte,14,Houchens Industries-L.T. Smith Stadium - Bowling Green Kentucky
458,8,Oct 14 2017,3:30 PM,Sat,(7) Wisconsin,17,,Purdue,9,Camp Randall Stadium - Madison Wisconsin
459,8,Oct 14 2017,4:30 PM,Sat,Wyoming,28,@,Utah State,23,Merlin Olsen Field at Maverik Stadium - Logan Utah
460,8,Oct 15 2017,1:00 PM,Sun,Akron,14,@,Western Michigan,13,Waldo Stadium - Kalamazoo Michigan
461,9,Oct 19 2017,7:30 PM,Thu,Arkansas State,47,,Louisiana,3,Centennial Bank Stadium - Jonesboro Arkansas
462,9,Oct 19 2017,8:00 PM,Thu,(25) Memphis,42,@,Houston,38,TDECU Stadium - Houston Texas
463,9,Oct 20 2017,9:30 PM,Fri,Air Force,45,@,Nevada,42,MacKay Stadium - Reno Nevada
464,9,Oct 20 2017,10:15 PM,Fri,Colorado State,27,@,New Mexico,24,Dreamstyle Stadium - Albuquerque New Mexico
465,9,Oct 20 2017,7:00 PM,Fri,Marshall,38,@,Middle Tennessee State,10,Floyd Stadium - Murfreesboro Tennessee
466,9,Oct 20 2017,6:00 PM,Fri,Western Kentucky,35,@,Old Dominion,31,S.B. Ballard Stadium - Norfolk Virginia
467,9,Oct 21 2017,3:30 PM,Sat,(1) Alabama,45,,Tennessee,7,Bryant-Denny Stadium - Tuscaloosa Alabama
468,9,Oct 21 2017,3:30 PM,Sat,Appalachian State,37,,Coastal Carolina,29,Kidd Brewer Stadium - Boone North Carolina
469,9,Oct 21 2017,8:00 PM,Sat,Arizona,45,@,California,44,California Memorial Stadium - Berkeley California
470,9,Oct 21 2017,3:30 PM,Sat,Arizona State,30,@,Utah,10,Rice-Eccles Stadium - Salt Lake City Utah
471,9,Oct 21 2017,12:00 PM,Sat,Army,31,,Temple,28,Michie Stadium - West Point New York
472,9,Oct 21 2017,7:30 PM,Sat,(21) Auburn,52,@,Arkansas,20,Donald W. Reynolds Razorback Stadium - Fayetteville Arkansas
473,9,Oct 21 2017,10:15 PM,Sat,Boise State,24,,Wyoming,14,Albertsons Stadium - Boise Idaho
474,9,Oct 21 2017,12:30 PM,Sat,Boston College,41,@,Virginia,10,Scott Stadium - Charlottesville Virginia
475,9,Oct 21 2017,3:30 PM,Sat,(20) Central Florida,31,@,Navy,21,Navy-Marine Corps Memorial Stadium - Annapolis Maryland
476,9,Oct 21 2017,3:00 PM,Sat,Central Michigan,56,@,Ball State,9,Scheumann Stadium - Muncie Indiana
477,9,Oct 21 2017,6:30 PM,Sat,Charlotte,25,,Alabama-Birmingham,24,Jerry Richardson Stadium - Charlotte North Carolina
478,9,Oct 21 2017,12:00 PM,Sat,Connecticut,20,,Tulsa,14,Pratt & Whitney Stadium at Rentschler Field - East Hartford Connecticut
479,9,Oct 21 2017,,Sat,East Carolina,33,,Brigham Young,17,Dowdy-Ficklen Stadium - Greenville North Carolina
480,9,Oct 21 2017,5:00 PM,Sat,Florida Atlantic,69,,North Texas,31,FAU Football Stadium - Boca Raton Florida
481,9,Oct 21 2017,10:30 PM,Sat,Fresno State,27,@,San Diego State,3,SDCCU Stadium - San Diego California
482,9,Oct 21 2017,7:30 PM,Sat,Georgia Tech,38,,Wake Forest,24,Bobby Dodd Stadium - Atlanta Georgia
483,9,Oct 21 2017,12:00 PM,Sat,Iowa State,31,@,Texas Tech,13,Jones AT&T Stadium - Lubbock Texas
484,9,Oct 21 2017,7:15 PM,Sat,(24) Louisiana State,40,@,Mississippi,24,Vaught-Hemingway Stadium - Oxford Mississippi
485,9,Oct 21 2017,12:00 PM,Sat,Louisville,31,@,Florida State,28,Doak Campbell Stadium - Tallahassee Florida
486,9,Oct 21 2017,3:30 PM,Sat,Massachusetts,55,,Georgia Southern,20,Warren McGuirk Alumni Stadium - Amherst Massachusetts
487,9,Oct 21 2017,3:30 PM,Sat,(8) Miami (FL),27,,Syracuse,19,Hard Rock Stadium - Miami Gardens Florida
488,9,Oct 21 2017,2:30 PM,Sat,Miami (OH),24,,Buffalo,14,Fred Yager Stadium - Oxford Ohio
489,9,Oct 21 2017,3:30 PM,Sat,(18) Michigan State,17,,Indiana,9,Spartan Stadium - East Lansing Michigan
490,9,Oct 21 2017,3:30 PM,Sat,Minnesota,24,,Illinois,17,TCF Bank Stadium - Minneapolis Minnesota
491,9,Oct 21 2017,4:00 PM,Sat,Mississippi State,45,,Kentucky,7,Davis Wade Stadium - Starkville Mississippi
492,9,Oct 21 2017,12:00 PM,Sat,Missouri,68,,Idaho,21,Memorial Stadium/Faurot Field - Columbia Missouri
493,9,Oct 21 2017,4:00 AM,Sat,Monmouth,56,,Liberty,39,
494,9,Oct 21 2017,2:00 PM,Sat,Northern Illinois,48,@,Bowling Green,17,Doyt Perry Stadium - Bowling Green Ohio
495,9,Oct 21 2017,12:00 PM,Sat,Northwestern,17,,Iowa,10,Ryan Field - Evanston Illinois
496,9,Oct 21 2017,7:30 PM,Sat,(13) Notre Dame,49,,(11) Southern California,14,Notre Dame Stadium - South Bend Indiana
497,9,Oct 21 2017,2:00 PM,Sat,Ohio,48,,Kent State,3,Peden Stadium - Athens Ohio
498,9,Oct 21 2017,4:00 PM,Sat,(9) Oklahoma,42,@,Kansas State,35,Bill Snyder Family Stadium - Manhattan Kansas
499,9,Oct 21 2017,12:00 PM,Sat,(10) Oklahoma State,13,@,Texas,10,Darrell K Royal-Texas Memorial Stadium - Austin Texas
500,9,Oct 21 2017,7:30 PM,Sat,(2) Penn State,42,,(19) Michigan,13,Beaver Stadium - University Park Pennsylvania
501,9,Oct 21 2017,12:20 PM,Sat,Pittsburgh,24,@,Duke,17,Wallace Wade Stadium - Durham North Carolina
502,9,Oct 21 2017,12:00 PM,Sat,Rutgers,14,,Purdue,12,High Point Solutions Stadium - Piscataway New Jersey
503,9,Oct 21 2017,5:00 PM,Sat,South Alabama,33,,Louisiana-Monroe,23,Ladd-Peebles Stadium - Mobile Alabama
504,9,Oct 21 2017,7:00 PM,Sat,(16) South Florida,34,@,Tulane,28,Yulman Stadium - New Orleans Louisiana
505,9,Oct 21 2017,4:00 PM,Sat,Southern Methodist,31,@,Cincinnati,28,Nippert Stadium - Cincinnati Ohio
506,9,Oct 21 2017,7:00 PM,Sat,Southern Mississippi,34,@,Louisiana Tech,27,Joe Aillet Stadium - Ruston Louisiana
507,9,Oct 21 2017,8:00 PM,Sat,(4) Texas Christian,43,,Kansas,0,Amon G. Carter Stadium - Fort Worth Texas
508,9,Oct 21 2017,7:00 PM,Sat,Texas-San Antonio,20,,Rice,7,Alamodome - San Antonio Texas
509,9,Oct 21 2017,12:00 PM,Sat,Toledo,48,,Akron,21,Glass Bowl - Toledo Ohio
510,9,Oct 21 2017,2:00 PM,Sat,Troy,34,@,Georgia State,10,Georgia State Stadium - Atlanta Georgia
511,9,Oct 21 2017,4:00 PM,Sat,UCLA,31,,Oregon,14,Rose Bowl - Pasadena California
512,9,Oct 21 2017,6:00 PM,Sat,Utah State,52,@,Nevada-Las Vegas,28,Sam Boyd Stadium - Las Vegas Nevada
513,9,Oct 21 2017,3:30 PM,Sat,(14) Virginia Tech,59,,North Carolina,7,Lane Stadium - Blacksburg Virginia
514,9,Oct 21 2017,10:45 PM,Sat,(15) Washington State,28,,Colorado,0,Martin Stadium - Pullman Washington
515,9,Oct 21 2017,8:00 PM,Sat,(23) West Virginia,38,@,Baylor,36,McLane Stadium - Waco Texas
516,9,Oct 21 2017,2:00 PM,Sat,Western Michigan,20,@,Eastern Michigan,17,Rynearson Stadium - Ypsilanti Michigan
517,9,Oct 21 2017,12:00 PM,Sat,(5) Wisconsin,38,,Maryland,13,Camp Randall Stadium - Madison Wisconsin
518,10,Oct 26 2017,7:30 PM,Thu,Georgia State,21,,South Alabama,13,Georgia State Stadium - Atlanta Georgia
519,10,Oct 26 2017,7:00 PM,Thu,Northern Illinois,30,,Eastern Michigan,27,Huskie Stadium - DeKalb Illinois
520,10,Oct 26 2017,9:00 PM,Thu,(20) Stanford,15,@,Oregon State,14,Reser Stadium - Corvallis Oregon
521,10,Oct 26 2017,7:00 PM,Thu,Toledo,58,@,Ball State,17,Scheumann Stadium - Muncie Indiana
522,10,Oct 27 2017,8:00 PM,Fri,Boston College,35,,Florida State,3,Alumni Stadium - Chestnut Hill Massachusetts
523,10,Oct 27 2017,8:00 PM,Fri,(24) Memphis,56,,Tulane,26,Liberty Bowl Memorial Stadium - Memphis Tennessee
524,10,Oct 27 2017,9:00 PM,Fri,Southern Methodist,38,,Tulsa,34,Gerald J. Ford Stadium - Dallas Texas
525,10,Oct 28 2017,3:00 PM,Sat,Air Force,45,@,Colorado State,28,Sonny Lubrick Field at Colorado State Stadium - Fort Collins Colorado
526,10,Oct 28 2017,11:30 AM,Sat,Akron,21,,Buffalo,20,InfoCision Stadium - Akron Ohio
527,10,Oct 28 2017,7:00 PM,Sat,Alabama-Birmingham,30,@,Southern Mississippi,12,M. M. Roberts Stadium - Hattiesburg Mississippi
528,10,Oct 28 2017,9:30 PM,Sat,Arizona,58,,(15) Washington State,37,Arizona Stadium - Tucson Arizona
529,10,Oct 28 2017,12:00 PM,Sat,Arkansas,38,@,Mississippi,37,Vaught-Hemingway Stadium - Oxford Mississippi
530,10,Oct 28 2017,8:00 PM,Sat,Arkansas State,37,@,New Mexico State,21,Aggie Memorial Stadium - Las Cruces New Mexico
531,10,Oct 28 2017,10:00 PM,Sat,Boise State,41,@,Utah State,14,Merlin Olsen Field at Maverik Stadium - Logan Utah
532,10,Oct 28 2017,,Sat,Brigham Young,41,,San Jose State,20,LaVell Edwards Stadium - Provo Utah
533,10,Oct 28 2017,5:00 PM,Sat,(18) Central Florida,73,,Austin Peay,33,Spectrum Stadium - Orlando Florida
534,10,Oct 28 2017,8:00 PM,Sat,(7) Clemson,24,,Georgia Tech,10,Clemson Memorial Stadium - Clemson South Carolina
535,10,Oct 28 2017,2:00 PM,Sat,Colorado,44,,California,28,Folsom Field - Boulder Colorado
536,10,Oct 28 2017,4:30 PM,Sat,Florida Atlantic,42,@,Western Kentucky,28,Houchens Industries-L.T. Smith Stadium - Bowling Green Kentucky
537,10,Oct 28 2017,2:30 PM,Sat,Florida International,41,@,Marshall,30,Joan C. Edwards Stadium - Huntington West Virginia
538,10,Oct 28 2017,3:30 PM,Sat,(3) Georgia,42,N,Florida,7,EverBank Field - Jacksonville Florida
539,10,Oct 28 2017,3:45 PM,Sat,Houston,28,@,(17) South Florida,24,Raymond James Stadium - Tampa Florida
540,10,Oct 28 2017,5:00 PM,Sat,Idaho,31,,Louisiana-Monroe,23,Kibbie-Asui Activity Center - Moscow Idaho
541,10,Oct 28 2017,6:30 PM,Sat,Iowa,17,,Minnesota,10,Kinnick Stadium - Iowa City Iowa
542,10,Oct 28 2017,3:30 PM,Sat,(25) Iowa State,14,,(4) Texas Christian,7,Jack Trice Stadium - Ames Iowa
543,10,Oct 28 2017,3:00 PM,Sat,Kansas State,30,@,Kansas,20,Memorial Stadium - Lawrence Kansas
544,10,Oct 28 2017,7:30 PM,Sat,Kentucky,29,,Tennessee,26,Kroger Field - Lexington Kentucky
545,10,Oct 28 2017,4:00 AM,Sat,Liberty,33,@,Gardner-Webb,17,
546,10,Oct 28 2017,3:30 PM,Sat,Louisiana Tech,42,@,Rice,28,Rice Stadium - Houston Texas
547,10,Oct 28 2017,3:30 PM,Sat,Maryland,42,,Indiana,39,Capital One Field at Maryland Stadium - College Park Maryland
548,10,Oct 28 2017,3:30 PM,Sat,Massachusetts,30,,Appalachian State,27,Warren McGuirk Alumni Stadium - Amherst Massachusetts
549,10,Oct 28 2017,12:00 PM,Sat,(8) Miami (FL),24,@,North Carolina,19,Kenan Memorial Stadium - Chapel Hill North Carolina
550,10,Oct 28 2017,12:00 PM,Sat,Michigan,35,,Rutgers,14,Michigan Stadium - Ann Arbor Michigan
551,10,Oct 28 2017,7:15 PM,Sat,Mississippi State,35,@,Texas A&M,14,Kyle Field - College Station Texas
552,10,Oct 28 2017,6:30 PM,Sat,Missouri,52,@,Connecticut,12,Pratt & Whitney Stadium at Rentschler Field - East Hartford Connecticut
553,10,Oct 28 2017,7:30 PM,Sat,Nebraska,25,@,Purdue,24,Ross-Ade Stadium - West Lafayette Indiana
554,10,Oct 28 2017,10:00 PM,Sat,Nevada-Las Vegas,26,@,Fresno State,16,Bulldog Stadium - Fresno California
555,10,Oct 28 2017,6:30 PM,Sat,North Texas,45,,Old Dominion,38,Apogee Stadium - Denton Texas
556,10,Oct 28 2017,3:30 PM,Sat,Northwestern,39,,(16) Michigan State,31,Ryan Field - Evanston Illinois
557,10,Oct 28 2017,3:30 PM,Sat,(9) Notre Dame,35,,(14) North Carolina State,14,Notre Dame Stadium - South Bend Indiana
558,10,Oct 28 2017,3:30 PM,Sat,(6) Ohio State,39,,(2) Penn State,38,Ohio Stadium - Columbus Ohio
559,10,Oct 28 2017,8:00 PM,Sat,(10) Oklahoma,49,,Texas Tech,27,Gaylord Family - Oklahoma Memorial Stadium - Norman Oklahoma
560,10,Oct 28 2017,12:00 PM,Sat,(11) Oklahoma State,50,@,(22) West Virginia,39,Milan Puskar Stadium - Morgantown West Virginia
561,10,Oct 28 2017,5:45 PM,Sat,Oregon,41,,Utah,20,Autzen Stadium - Eugene Oregon
562,10,Oct 28 2017,12:30 PM,Sat,Pittsburgh,31,,Virginia,14,Heinz Field - Pittsburgh Pennsylvania
563,10,Oct 28 2017,11:15 PM,Sat,San Diego State,28,@,Hawaii,7,Aloha Stadium - Honolulu Hawaii
564,10,Oct 28 2017,4:00 PM,Sat,South Carolina,34,,Vanderbilt,27,Williams-Brice Stadium - Columbia South Carolina
565,10,Oct 28 2017,10:45 PM,Sat,(21) Southern California,48,@,Arizona State,17,Sun Devil Stadium - Tempe Arizona
566,10,Oct 28 2017,12:00 PM,Sat,Texas,38,@,Baylor,7,McLane Stadium - Waco Texas
567,10,Oct 28 2017,6:00 PM,Sat,Texas State,27,@,Coastal Carolina,7,Brooks Stadium - Conway South Carolina
568,10,Oct 28 2017,,Sat,Texas-San Antonio,31,@,Texas-El Paso,14,Sun Bowl - El Paso Texas
569,10,Oct 28 2017,3:30 PM,Sat,Troy,38,,Georgia Southern,16,Veterans Memorial Stadium - Troy Alabama
570,10,Oct 28 2017,7:20 PM,Sat,(13) Virginia Tech,24,,Duke,3,Lane Stadium - Blacksburg Virginia
571,10,Oct 28 2017,12:20 PM,Sat,Wake Forest,42,,Louisville,32,BB&T Field - Winston-Salem North Carolina
572,10,Oct 28 2017,3:30 PM,Sat,(12) Washington,44,,UCLA,23,Husky Stadium - Seattle Washington
573,10,Oct 28 2017,12:00 PM,Sat,(5) Wisconsin,24,@,Illinois,10,Memorial Stadium - Champaign Illinois
574,10,Oct 28 2017,7:30 PM,Sat,Wyoming,42,,New Mexico,3,Jonah Field War Memorial Stadium - Laramie Wyoming
575,11,Oct 31 2017,8:00 PM,Tue,Bowling Green,44,@,Kent State,16,Dix Stadium - Kent Ohio
576,11,Oct 31 2017,8:00 PM,Tue,Ohio,45,,Miami (OH),28,Peden Stadium - Athens Ohio
577,11,Nov 1 2017,8:00 PM,Wed,Central Michigan,35,@,Western Michigan,28,Waldo Stadium - Kalamazoo Michigan
578,11,Nov 2 2017,6:00 PM,Thu,Eastern Michigan,56,,Ball State,14,Rynearson Stadium - Ypsilanti Michigan
579,11,Nov 2 2017,8:00 PM,Thu,Temple,34,,Navy,26,Lincoln Financial Field - Philadelphia Pennsylvania
580,11,Nov 2 2017,6:00 PM,Thu,Toledo,27,,Northern Illinois,17,Glass Bowl - Toledo Ohio
581,11,Nov 2 2017,9:15 PM,Thu,Troy,24,,Idaho,21,Veterans Memorial Stadium - Troy Alabama
582,11,Nov 3 2017,6:00 PM,Fri,Florida Atlantic,30,,Marshall,25,FAU Football Stadium - Boca Raton Florida
583,11,Nov 3 2017,8:00 PM,Fri,(22) Memphis,41,@,Tulsa,14,H.A. Chapman Stadium - Tulsa Oklahoma
584,11,Nov 3 2017,9:30 PM,Fri,Utah,48,,UCLA,17,Rice-Eccles Stadium - Salt Lake City Utah
585,11,Nov 4 2017,8:00 PM,Sat,(1) Alabama,24,,(19) Louisiana State,10,Bryant-Denny Stadium - Tuscaloosa Alabama
586,11,Nov 4 2017,3:00 PM,Sat,Alabama-Birmingham,52,,Rice,21,Legion Field - Birmingham Alabama
587,11,Nov 4 2017,9:00 PM,Sat,Arizona State,41,,Colorado,30,Sun Devil Stadium - Tempe Arizona
588,11,Nov 4 2017,4:00 PM,Sat,Arkansas,39,,Coastal Carolina,38,Donald W. Reynolds Razorback Stadium - Fayetteville Arkansas
589,11,Nov 4 2017,3:30 PM,Sat,Army,21,@,Air Force,0,Falcon Stadium - Colorado Springs Colorado
590,11,Nov 4 2017,,Sat,(16) Auburn,42,@,Texas A&M,27,Kyle Field - College Station Texas
591,11,Nov 4 2017,12:00 PM,Sat,Baylor,38,@,Kansas,9,Memorial Stadium - Lawrence Kansas
592,11,Nov 4 2017,7:00 PM,Sat,Boise State,41,,Nevada,14,Albertsons Stadium - Boise Idaho
593,11,Nov 4 2017,5:00 PM,Sat,California,37,,Oregon State,23,California Memorial Stadium - Berkeley California
594,11,Nov 4 2017,7:15 PM,Sat,(15) Central Florida,31,@,Southern Methodist,24,Gerald J. Ford Stadium - Dallas Texas
595,11,Nov 4 2017,4:00 PM,Sat,Cincinnati,17,@,Tulane,16,Yulman Stadium - New Orleans Louisiana
596,11,Nov 4 2017,3:30 PM,Sat,(6) Clemson,38,@,(20) North Carolina State,31,Carter-Finley Stadium - Raleigh North Carolina
597,11,Nov 4 2017,7:00 PM,Sat,Florida International,14,,Texas-San Antonio,7,Riccardo Silva Stadium - Miami Florida
598,11,Nov 4 2017,12:20 PM,Sat,Florida State,27,,Syracuse,24,Doak Campbell Stadium - Tallahassee Florida
599,11,Nov 4 2017,,Sat,Fresno State,20,,Brigham Young,13,Bulldog Stadium - Fresno California
600,11,Nov 4 2017,3:30 PM,Sat,(2) Georgia,24,,South Carolina,10,Sanford Stadium - Athens Georgia
601,11,Nov 4 2017,3:00 PM,Sat,Georgia State,21,@,Georgia Southern,17,Allen E. Paulson Stadium - Statesboro Georgia
602,11,Nov 4 2017,12:00 PM,Sat,Houston,52,,East Carolina,27,TDECU Stadium - Houston Texas
603,11,Nov 4 2017,3:30 PM,Sat,Iowa,55,,(3) Ohio State,24,Kinnick Stadium - Iowa City Iowa
604,11,Nov 4 2017,12:00 PM,Sat,Kansas State,42,@,Texas Tech,35,Jones AT&T Stadium - Lubbock Texas
605,11,Nov 4 2017,4:00 AM,Sat,Liberty,27,,Duquesne,24,
606,11,Nov 4 2017,4:00 PM,Sat,Louisiana,19,@,South Alabama,14,Ladd-Peebles Stadium - Mobile Alabama
607,11,Nov 4 2017,3:00 PM,Sat,Louisiana-Monroe,52,,Appalachian State,45,Malone Stadium - Monroe Louisiana
608,11,Nov 4 2017,8:00 PM,Sat,(9) Miami (FL),28,,(13) Virginia Tech,10,Hard Rock Stadium - Miami Gardens Florida
609,11,Nov 4 2017,7:30 PM,Sat,Michigan,33,,Minnesota,10,Michigan Stadium - Ann Arbor Michigan
610,11,Nov 4 2017,12:00 PM,Sat,(24) Michigan State,27,,(7) Penn State,24,Spartan Stadium - East Lansing Michigan
611,11,Nov 4 2017,7:30 PM,Sat,Middle Tennessee State,30,,Texas-El Paso,3,Floyd Stadium - Murfreesboro Tennessee
612,11,Nov 4 2017,4:00 PM,Sat,Mississippi,37,@,Kentucky,34,Kroger Field - Lexington Kentucky
613,11,Nov 4 2017,12:00 PM,Sat,(21) Mississippi State,34,,Massachusetts,23,Davis Wade Stadium - Starkville Mississippi
614,11,Nov 4 2017,12:00 PM,Sat,Missouri,45,,Florida,16,Memorial Stadium/Faurot Field - Columbia Missouri
615,11,Nov 4 2017,6:00 PM,Sat,Nevada-Las Vegas,31,,Hawaii,23,Sam Boyd Stadium - Las Vegas Nevada
616,11,Nov 4 2017,3:00 PM,Sat,New Mexico State,45,@,Texas State,35,Bobcat Stadium - San Marcos Texas
617,11,Nov 4 2017,3:30 PM,Sat,North Texas,24,@,Louisiana Tech,23,Joe Aillet Stadium - Ruston Louisiana
618,11,Nov 4 2017,3:30 PM,Sat,Northwestern,31,@,Nebraska,24,Memorial Stadium - Lincoln Nebraska
619,11,Nov 4 2017,3:30 PM,Sat,(5) Notre Dame,48,,Wake Forest,37,Notre Dame Stadium - South Bend Indiana
620,11,Nov 4 2017,4:00 PM,Sat,(8) Oklahoma,62,@,(11) Oklahoma State,52,Boone Pickens Stadium - Stillwater Oklahoma
621,11,Nov 4 2017,3:30 PM,Sat,Old Dominion,6,,Charlotte,0,S.B. Ballard Stadium - Norfolk Virginia
622,11,Nov 4 2017,12:00 PM,Sat,Purdue,29,,Illinois,10,Ross-Ade Stadium - West Lafayette Indiana
623,11,Nov 4 2017,3:30 PM,Sat,Rutgers,31,,Maryland,24,High Point Solutions Stadium - Piscataway New Jersey
624,11,Nov 4 2017,10:30 PM,Sat,San Diego State,52,@,San Jose State,7,CEFCU Stadium - San Jose California
625,11,Nov 4 2017,3:30 PM,Sat,South Florida,37,@,Connecticut,20,Pratt & Whitney Stadium at Rentschler Field - East Hartford Connecticut
626,11,Nov 4 2017,10:45 PM,Sat,(17) Southern California,49,,(23) Arizona,35,Los Angeles Memorial Coliseum - Los Angeles California
627,11,Nov 4 2017,7:30 PM,Sat,Tennessee,24,,Southern Mississippi,10,Neyland Stadium - Knoxville Tennessee
628,11,Nov 4 2017,7:15 PM,Sat,(10) Texas Christian,24,,Texas,7,Amon G. Carter Stadium - Fort Worth Texas
629,11,Nov 4 2017,5:30 PM,Sat,Utah State,24,@,New Mexico,10,Dreamstyle Stadium - Albuquerque New Mexico
630,11,Nov 4 2017,12:00 PM,Sat,Vanderbilt,31,,Western Kentucky,17,Vanderbilt Stadium - Nashville Tennessee
631,11,Nov 4 2017,3:00 PM,Sat,Virginia,40,,Georgia Tech,36,Scott Stadium - Charlottesville Virginia
632,11,Nov 4 2017,10:00 PM,Sat,(12) Washington,38,,Oregon,3,Husky Stadium - Seattle Washington
633,11,Nov 4 2017,3:30 PM,Sat,(25) Washington State,24,,(18) Stanford,21,Martin Stadium - Pullman Washington
634,11,Nov 4 2017,3:30 PM,Sat,West Virginia,20,,(14) Iowa State,16,Milan Puskar Stadium - Morgantown West Virginia
635,11,Nov 4 2017,12:00 PM,Sat,(4) Wisconsin,45,@,Indiana,17,Memorial Stadium "The Rock" - Bloomington Indiana
636,11,Nov 4 2017,7:00 PM,Sat,Wyoming,16,,Colorado State,13,Jonah Field War Memorial Stadium - Laramie Wyoming
637,12,Nov 7 2017,7:30 PM,Tue,Buffalo,38,,Bowling Green,28,UB Stadium - Buffalo New York
638,12,Nov 7 2017,7:30 PM,Tue,Miami (OH),24,,Akron,14,Fred Yager Stadium - Oxford Ohio
639,12,Nov 8 2017,8:00 PM,Wed,Central Michigan,42,,Eastern Michigan,30,Kelly/Shorts Stadium - Mount Pleasant Michigan
640,12,Nov 8 2017,7:00 PM,Wed,Ohio,38,,Toledo,10,Peden Stadium - Athens Ohio
641,12,Nov 8 2017,7:00 PM,Wed,Western Michigan,48,,Kent State,20,Waldo Stadium - Kalamazoo Michigan
642,12,Nov 9 2017,7:30 PM,Thu,Appalachian State,27,,Georgia Southern,6,Kidd Brewer Stadium - Boone North Carolina
643,12,Nov 9 2017,7:30 PM,Thu,North Carolina,34,@,Pittsburgh,31,Heinz Field - Pittsburgh Pennsylvania
644,12,Nov 9 2017,7:00 PM,Thu,Northern Illinois,63,,Ball State,17,Huskie Stadium - DeKalb Illinois
645,12,Nov 10 2017,,Fri,Brigham Young,31,@,Nevada-Las Vegas,21,Sam Boyd Stadium - Las Vegas Nevada
646,12,Nov 10 2017,10:30 PM,Fri,Stanford,30,,(9) Washington,22,Stanford Stadium - Stanford California
647,12,Nov 10 2017,7:00 PM,Fri,Temple,35,@,Cincinnati,24,Nippert Stadium - Cincinnati Ohio
648,12,Nov 11 2017,7:00 PM,Sat,(1) Alabama,31,@,(18) Mississippi State,24,Davis Wade Stadium - Starkville Mississippi
649,12,Nov 11 2017,7:00 PM,Sat,Alabama-Birmingham,24,@,Texas-San Antonio,19,Alamodome - San Antonio Texas
650,12,Nov 11 2017,10:00 PM,Sat,Arizona,49,,Oregon State,28,Arizona Stadium - Tucson Arizona
651,12,Nov 11 2017,12:00 PM,Sat,Army,21,,Duke,16,Michie Stadium - West Point New York
652,12,Nov 11 2017,3:30 PM,Sat,(10) Auburn,40,,(2) Georgia,17,Jordan-Hare Stadium - Auburn Alabama
653,12,Nov 11 2017,10:30 PM,Sat,Boise State,59,@,Colorado State,52,Sonny Lubrick Field at Colorado State Stadium - Fort Collins Colorado
654,12,Nov 11 2017,12:00 PM,Sat,(14) Central Florida,49,,Connecticut,24,Spectrum Stadium - Orlando Florida
655,12,Nov 11 2017,3:30 PM,Sat,(4) Clemson,31,,Florida State,14,Clemson Memorial Stadium - Clemson South Carolina
656,12,Nov 11 2017,3:30 PM,Sat,Florida Atlantic,48,@,Louisiana Tech,23,Joe Aillet Stadium - Ruston Louisiana
657,12,Nov 11 2017,11:00 PM,Sat,Fresno State,31,@,Hawaii,21,Aloha Stadium - Honolulu Hawaii
