Date,Season,Type,Round,Team,Opp,HomeAway,PointsFor,PointsAgainst,OT,TeamAPRank,OppAPRank
2007-09-08,2007,R,,syracuse,iowa,A,0,35,0,,
2007-09-08,2007,R,,kansas,southeastern-louisiana,H,62,0,0,,
2007-09-08,2007,R,,southeastern-louisiana,kansas,A,0,62,0,,
2007-09-08,2007,R,,kansas-state,san-jose-state,H,34,14,0,,
2007-09-08,2007,R,,san-jose-state,kansas-state,A,14,34,0,,
2007-09-08,2007,R,,kentucky,kent-state,H,56,20,0,,
2007-09-08,2007,R,,kent-state,kentucky,A,20,56,0,,
2007-09-08,2007,R,,louisiana-state,virginia-tech,H,48,7,0,2.0,9.0
2007-09-08,2007,R,,virginia-tech,louisiana-state,A,7,48,0,9.0,2.0
2007-09-08,2007,R,,maryland,florida-international,A,26,10,0,,
2007-09-08,2007,R,,florida-international,maryland,H,10,26,0,,
2007-09-08,2007,R,,michigan-state,bowling-green,H,28,17,0,,
2007-09-08,2007,R,,bowling-green,michigan-state,A,17,28,0,,
2007-09-08,2007,R,,minnesota,miami-oh,H,41,35,0,,
2007-09-08,2007,R,,miami-oh,minnesota,A,35,41,0,,
2007-09-08,2007,R,,mississippi-state,tulane,A,38,17,0,,
2007-09-08,2007,R,,tulane,mississippi-state,H,17,38,0,,
2007-09-08,2007,R,,missouri,mississippi,A,38,25,0,,
2007-09-08,2007,R,,mississippi,missouri,H,25,38,0,,
2007-09-08,2007,R,,nebraska,wake-forest,A,20,17,0,16.0,
2007-09-08,2007,R,,wake-forest,nebraska,H,17,20,0,,16.0
2007-09-08,2007,R,,new-mexico,new-mexico-state,H,44,34,0,,
2007-09-08,2007,R,,new-mexico-state,new-mexico,A,34,44,0,,
2007-09-08,2007,R,,northern-iowa,iowa-state,A,24,13,0,,
2007-09-08,2007,R,,iowa-state,northern-iowa,H,13,24,0,,
2007-09-08,2007,R,,northwestern,nevada,H,36,31,0,,
2007-09-08,2007,R,,nevada,northwestern,A,31,36,0,,
2007-09-08,2007,R,,ohio,louisiana,A,31,23,0,,
2007-09-08,2007,R,,louisiana,ohio,H,23,31,0,,
2007-09-08,2007,R,,ohio-state,akron,H,20,2,0,12.0,
2007-09-08,2007,R,,akron,ohio-state,A,2,20,0,,12.0
2007-09-08,2007,R,,oklahoma,miami-fl,H,51,13,0,5.0,
2007-09-08,2007,R,,miami-fl,oklahoma,A,13,51,0,,5.0
2007-09-08,2007,R,,oklahoma-state,florida-atlantic,H,42,6,0,,
2007-09-08,2007,R,,florida-atlantic,oklahoma-state,A,6,42,0,,
2007-09-08,2007,R,,oregon,michigan,A,39,7,0,,
