source_file,window_title,team_name,dest
sportsref_download (19).xls,1995-96 Western Michigan Broncos Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Western Michigan,Western_Michigan.xls
sportsref_download (19).xls,1995-96 Eastern Michigan Eagles Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Eastern Michigan,Eastern_Michigan.xls
sportsref_download (19).xls,1995-96 Northern Illinois Huskies Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Northern Illinois,Northern_Illinois.xls
sportsref_download (19).xls,1995-96 Buffalo Bulls Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Buffalo,Buffalo_dup1785040583.xls
sportsref_download (19).xls,1995-96 Toledo Rockets Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Toledo,Toledo.xls
sportsref_download (19).xls,1995-96 Southern Illinois Salukis Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Southern Illinois,Southern_Illinois.xls
sportsref_download (19).xls,1995-96 Creighton Bluejays Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Creighton,Creighton.xls
sportsref_download (19).xls,1995-96 Davidson Wildcats Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Davidson,Davidson.xls
sportsref_download (19).xls,1995-96 VCU Rams Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,VCU,VCU.xls
sportsref_download (19).xls,1995-96 Drake Bulldogs Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Drake,Drake.xls
sportsref_download (19).xls,1995-96 UNC Greensboro Spartans Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,UNC Greensboro,UNC_Greensboro.xls
sportsref_download (19).xls,1995-96 UNC Wilmington Seahawks Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,UNC Wilmington,UNC_Wilmington.xls
sportsref_download (19).xls,1995-96 Northern Iowa Panthers Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Northern Iowa,Northern_Iowa.xls
sportsref_download (19).xls,1995-96 Wichita State Shockers Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Wichita State,Wichita_State.xls
sportsref_download (19).xls,1995-96 Utah State Aggies Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Utah State,Utah_State.xls
sportsref_download (19).xls,1995-96 Valparaiso Beacons Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Valparaiso,Valparaiso.xls
sportsref_download (19).xls,1995-96 Tulane Green Wave Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Tulane Green,Tulane_Green.xls
sportsref_download (19).xls,1995-96 Nicholls State Colonels Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Nicholls State,Nicholls_State.xls
sportsref_download (19).xls,1995-96 Northwestern State Demons Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Northwestern State,Northwestern_State.xls
sportsref_download (19).xls,1995-96 New Mexico State Aggies Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,New Mexico State,New_Mexico_State.xls
sportsref_download (19).xls,1995-96 UTEP Miners Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,UTEP,UTEP.xls
sportsref_download (19).xls,1995-96 Houston Cougars Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Houston,Houston.xls
sportsref_download (19).xls,1995-96 TCU Horned Frogs Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,TCU Horned,TCU_Horned.xls
sportsref_download (19).xls,1995-96 SMU Mustangs Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,SMU,SMU.xls
